Timestamp,Page_Name,Network_Type,Page_Load_Time_ms,LCP_ms,API_Latency_ms,Total_Page_Size_KB
2026-02-17 20:58:39,Products,4G,2003.8,408,44.9,743.81
2026-02-17 20:58:48,Products,3G,8590.8,684,160,743.82
2026-02-17 20:58:58,About,3G,8631.6,728,0,735.03
2026-02-17 20:58:59,Products,WiFi,349.9,116,13.4,743.8
2026-02-17 20:59:01,About,4G,1734,292,0,735.04
2026-02-17 20:59:02,About,WiFi,468.4,200,0,735.04
2026-02-17 20:59:12,Homepage,3G,8886.7,708,140.8,752.85
2026-02-17 20:59:13,Homepage,WiFi,479.8,216,18.9,752.86
2026-02-17 20:59:16,Products,4G,1862.2,360,42.5,743.82
2026-02-17 20:59:17,Products,WiFi,470.3,196,20.1,743.81
2026-02-17 20:59:18,Homepage,WiFi,509.2,228,15.4,752.85
2026-02-17 20:59:21,About,4G,1844.4,376,0,735.05
2026-02-17 20:59:23,About,4G,1842.9,352,0,735.05
2026-02-17 20:59:24,About,WiFi,437,192,0,735.04
2026-02-17 20:59:33,About,3G,8660.4,712,0,735.05
2026-02-17 20:59:35,About,WiFi,436,188,0,735.05
2026-02-17 20:59:37,Homepage,4G,1862.6,384,28.7,752.85
2026-02-17 20:59:38,Homepage,WiFi,471.1,216,21.6,752.85
2026-02-17 20:59:40,Products,WiFi,448.6,200,16.8,743.82
2026-02-17 20:59:42,About,4G,1809.6,348,0,735.04
2026-02-17 20:59:51,Products,3G,8761.3,692,151.4,743.82
2026-02-17 20:59:53,Products,WiFi,318.1,120,12.4,743.8
2026-02-17 21:00:02,About,3G,8425.5,692,0,735.05
2026-02-17 21:00:03,About,WiFi,291.8,124,0,735.04
2026-02-17 21:00:12,About,3G,8447.9,692,0,735.04
2026-02-17 21:00:21,About,3G,8623.9,708,0,735.04
2026-02-17 21:00:30,Products,3G,8781.5,672,150.8,743.81
2026-02-17 21:00:32,About,WiFi,484.4,228,0,735.04
2026-02-17 21:00:34,About,4G,1824.2,352,0,735.04
2026-02-17 21:00:44,Homepage,3G,8892.6,692,141.9,752.85
2026-02-17 21:00:45,Products,WiFi,456.6,208,23.9,743.81
2026-02-17 21:00:55,Homepage,3G,8856.9,676,134.2,752.86
