Timestamp,Commit_ID,Page_Load_Time_ms,LCP_ms,TTFB_ms,Total_Page_Size_KB,API_Latency_ms
2026-02-17 17:43:31,manual,354,252,56.8,754.09,69.2
2026-02-17 17:47:28,manual,339.8,172,42.9,754.08,62.1
2026-02-17 17:52:30,regression_test_1,350,196,49.7,754.11,2054.5
2026-02-17 17:52:57,regression_test_2,370.7,220,93.6,754.1,2025.4
2026-02-17 17:53:05,regression_test_3,340.4,180,47.9,754.12,2026.5
2026-02-17 18:21:51,manual,331.8,204,41.9,754.12,2020
2026-02-17 18:24:13,manual,1693.2,1532,1433.1,754.07,2088.7
2026-02-17 19:49:16,manual,489.3,260,129.5,753.31,2031.2
2026-02-17 19:53:07,manual,623,320,137.6,753.32,2038.4
2026-02-17 19:54:13,manual,578.2,272,110.3,753.32,2026.6
